,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Tikr
0,10.761729695447594,125.77918979190159,46.252404336060806,-35.89524354112583,-6.553172261400557,1.8400125976823514,30.123639386609934,41.650672058060294,-10.602599693178629,-30.52746615722373,47.06566450802073,,20MICRONS
1,,,,,,,,,,-65.8867512550038,68.2264146575804,,21STCENMGM
2,109.07325906268768,33.18992236523672,-11.329462541726047,27.460108158879116,165.61114712190724,146.42588966729284,46.42677885650192,74.62430667962528,63.205711044484545,-5.152012674939487,12.184931071185076,,3MINDIA
3,7.581048350383422,-34.92020504346585,-50.52570924702932,-29.359544602364313,43.497636537718655,20.911579345541693,-6.210586697417948,6.635932607243089,-30.137870374711657,-49.76789425842446,46.58046905488732,,3PLAND
4,,,,,,,,,,-21.24546028745452,-5.000002243939547,,3RDROCK
5,,,,,,,,,-7.628389374054054,35.93200962118222,133.23082534468443,,5PAISA
6,-42.20334314656166,-35.742822396366975,-26.82897523311703,-65.87216088836355,-69.29273195539491,-64.51750789636705,-39.25704502299023,7.966644183902154,32.77387378562192,-8.202304903631234,-2.327561259230438,,63MOONS
7,,-72.34326918835762,-91.95661651690179,-79.81004909405345,18.68588767316023,78.2372257032499,96.72844595679739,-29.3322091254079,-69.93648409865118,-79.75605980607331,-59.50894366585003,,A2ZINFRA
8,,,,,,,,,,76.79790645077236,346.14696880312044,,AAKASH
9,,,,,,,,,,29.00051412824754,76.78217431489219,,AARON
10,19.63821528067748,18.28062631328545,83.41865737981702,329.893613841893,569.7611244487517,104.91961451237171,-8.96661987374229,10.194764559346114,-0.6085298061930912,202.53101497574923,386.6743606037415,,AARTIDRUGS
11,42.364792586780126,112.38603123136632,171.7228961424137,332.33302566182874,549.2477738381394,221.76900009747067,132.91559373973465,123.02441522539927,91.2963577415936,66.29269712873639,113.09091436130988,,AARTIIND
12,,,,,,,,,,,,,AARTISURF
13,-23.097545624830385,-37.20865042119371,-14.146756282354486,4.942094649322762,26.62884540914617,54.40206722805498,17.613866942592853,-48.01169386932475,-68.6476025975282,-67.35402045517421,16.065779209756673,,AARVEEDEN
14,,,,,,,,,-57.45100738214282,-53.74460273438621,61.897435052899496,,AARVI
15,,,,,,,,,,97.4908731076472,75.05644998694738,,AAVAS
16,-60.25051748231647,-55.85175540905539,-43.38213124932454,45.9848184337253,21.298589556422474,-64.12154738132449,-38.086743286815924,-37.754772633592886,-79.5272654899536,-81.84032356274494,-0.8745657032173412,,ABAN
17,-1.087601590085558,-6.309351216094074,-22.26750402702827,25.50867807573934,118.9115215724984,21.997340810588845,7.192104113502257,15.985111113087447,5.102799934065396,-23.318164788363934,24.955073564467753,,ABB
18,,,,,,,,,-53.72619443170662,-50.01364971533031,21.698534926384074,,ABCAPITAL
19,,,,,54.167066557540025,36.12715826525072,-6.861858690953401,9.784057640889095,28.943609878825917,-4.013289519271472,1.9830930954204784,,ABFRL
20,24.585701354006037,46.087575877231416,17.192790570215184,7.638248487700761,27.275115703847607,10.898515142551158,14.756293916051296,6.829006638259622,-1.6888477036018412,-4.010700154468755,40.55520972235116,,ACC
21,-2.4709719045462335,74.14173727490466,592.7002030723318,401.6635144999128,127.1752130660664,68.81286659440352,57.98682266055455,7.5648942519303315,-31.672136488970526,-10.686988181322958,30.98814656150686,,ACCELYA
22,,,,,,,,,,-63.97333205863052,11.622533748073325,,ACCURACY
23,11.491538753389536,-42.44063030245391,-69.40855002306499,-5.569984902700502,231.40193000201285,64.2573779935261,83.26090393240364,232.13724842777498,15.088516750638187,-49.03556516253103,138.42610580537962,,ACE
24,,,,,,,,,,,,,ACRYSIL
25,31.33446969702235,-54.079290007486414,-60.11403061519046,75.61318822377403,126.21799925560606,-34.75342685019707,1.0511499082259024,199.04283014512237,131.56852209832402,109.52679379055594,750.7109045858148,,ADANIENT
26,,,,,,,,,,969.8429413003861,1802.4857495896028,,ADANIGREEN
27,32.13843923248831,-11.776579155750614,2.0321713117758273,87.7830862765084,118.15354393919569,1.9460805283594123,15.89457424157978,58.845139444112206,5.886902858118256,-6.169244643475545,89.29424303536703,,ADANIPORTS
28,1.583630028798216,-53.458141013693506,-56.84448344968012,-16.226351796709785,-16.873951666150838,-39.63562248077475,-7.640478798815107,10.189856072627045,64.36251016845821,27.127652834860065,69.2074130877544,,ADANIPOWER
29,,,,,,,281.46185028240455,366.1425953619312,90.5732620267173,51.263058049829226,424.6531769390016,,ADANITRANS
30,,-22.420705443913644,-10.768678763829373,10.059839660550015,58.24466981704437,96.76854729959945,211.21756748815307,131.13216692219436,16.446080892492432,40.16011419437995,226.16343775472595,,ADFFOODS
31,,,,,,,,,,,,,ADL
32,-19.78430394506762,-27.13338674097673,-21.08778238801519,49.09748204799004,130.03014322443917,56.641999649595,60.67914284901739,36.809477922294654,-14.976314761097607,-26.630872131287486,74.0534831427553,,ADORWELD
33,,,,,,,-13.752446843654992,-54.53697351204562,-77.64793472053533,-76.97533747322882,-16.978740512914207,,ADROITINFO
34,-74.23868798669722,-88.7482698671906,-74.2382992689623,-26.227738818024154,100.44283443177451,102.43115041313398,-9.48933313125927,-51.38106677083921,-44.50214257232788,15.12993666713858,367.11200331805094,,ADSL
35,-37.89398474409045,-34.51758091386705,-15.9713632767108,86.27420754124347,75.02456289823087,-1.6045434907507174,23.79868141773751,14.872197803850481,2.8364070212293107,-17.16395513021664,14.254356317190691,,ADVANIHOTR
36,,,,,,,,-39.32268166194363,-48.19854915839607,0.4746739946817229,123.60196813982509,,ADVENZYMES
